Key,Source,Context,Changes,English,Russian

<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->
<!-- Z_Armor_Balance -->
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->
<!-- *** xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx -->

statPlayerExpGainRepairTool,ui_display,Item stat,,"XP Gain, Construction","Получаемый опыт, Строительство"
statPlayerExpGainMining,ui_display,Item stat,,"XP Gain, Mining","Получаемый опыт, Добыча руды"
statPlayerExpGainWinterDesertBiomes,ui_display,Item stat,,"XP Gain Winter and Desert, Killing","Опыт за убийство, Зима и Пустыня"
statStaminaLossAxe,ui_display,Item stat,,Stamina cost. Axe,Расход стамины. Топор
statStaminaLossPickaxe,ui_display,Item stat,,"Stamina cost, Pickaxe","Расход стамины, Кирка"
statLootTime,ui_display,Item stat,,"Loot time","Время поиска лута"
statAttacksPerMinuteStunBaton,ui_display,Item stat,,"Attack speed, Stun Baton","Скорость атаки, Оглушающий жезл"

statAttacksPerMinuteMelee,ui_display,Item stat,,"Attack speed, Melee","Скорость атаки, Ближний бой"

statDegradationPerUse,ui_display,Item stat,,"Degradation per use. Mining tools","Расход прочности. Инструменты добычи"
statStaminaLossMelee,ui_display,Item stat,,"Stamina cost, Melee","Расход стамины, Ближний бой"
statHealingSpeed,ui_display,Item stat,,Health regeneration rate,Скорость регенерации здоровья
statBlockDamageAxe,ui_display,Item st at,,"Block damage, Axe","Урон по блоку, Топор"
statMoneyLootQuantity,ui_display,Item stat,,More banknotes and dukes,Больше банкнот и дюков
statReloadSpeedArchery,ui_display,Item stat,,"Reload speed, Archery","Скорость перезарядки, Луки"
statCrouchSpeed,ui_display,Item stat,,Speed in stealth,Скорость в стелсе
statFoodAndWaterLost,ui_display,Item stat,,Food and water consumption. Run,Расход еды и воды. Бег
statReloadSpeed,ui_display,Item stat,,Reload speed,Скорость перезарядки
statMaxStaminaBonus,ui_display,Item stat,,Stamina Bonus,Бонус к выносливости
statStaminaRegenRunning,ui_display,Item stat,,Stamina regen. Run,Восстановление выносливости. Бег
statBarteringSelling,ui_display,Item stat,,Bartering (Selling),Обмен (Продажа)
statReloadSpeedGunslinger,ui_display,Item stat,,"Reload speed, Gunslinger","Скорость перезарядки, Стрелок"
statFoodHealthAmount,ui_display,Item stat,,Health bonus from food,Бонус к здоровью от еды
statAttacksPerMinuteKnives,ui_display,Item stat,,"Attack speed, Knives","Скорость атаки, Ножи"
statAttacksPerMinuteClubs,ui_display,Item stat,,"Attack speed, Clubs and Hammers","Скорость атаки, Дубины и кувалды"
statAttacksPerMinuteSalvaging,ui_display,Item stat,,"Attack speed, Salvaging","Скорость атаки, Разбор"

statReloadSpeedMultiplier,ui_display,Item stat,,"Reload speed, All weapon","Скорость перезарядки, Все оружие"
statReloadSpeedAutomaticWeapon,ui_display,Item stat,,"Reload speed, Machine Gunner","Скорость перезарядки, Автоматы"
statReloadSpeedSniper,ui_display,Item stat,,"Reload speed, Sniper Rifles","Скорость перезарядки, Снайперские винтовки"
statRoundsPerMinuteSniperSniper,ui_display,Item stat,,"Round per minute, Sniper Rifles","Скорострельность, Снайперские винтовки"
statReloadSpeedShotgun,ui_display,Item stat,,"Reload speed, Shotguns","Скорость перезарядки, Дробовики"
statRoundsPerMinuteShotgun,ui_display,Item stat,,"Round per minute, Shotguns","Скорострельность, Дробовики"

buffLumberjackSetBonus,buffs,Buff,,Lumberjack,Дровосек
buffPreacherSetBonus,buffs,Buff,,Preacher,Священник
buffRogueSetBonus,buffs,Buff,,Rogue,Разбойник
buffAthleticSetBonus,buffs,Buff,,Athletic,Спортсмен
buffEnforcerSetBonus,buffs,Buff,,Enforcer,Законник
buffFarmerSetBonus,buffs,Buff,,Farmer,Фермер
buffBikerSetBonus,buffs,Buff,,Biker,Байкер
buffScavengerSetBonus,buffs,Buff,,Scavenger,Мусорщик
buffRangerSetBonus,buffs,Buff,,Ranger,Егерь
buffCommandoSetBonus,buffs,Buff,,Commando,Спецназ
buffAssassinSetBonus,buffs,Buff,,Assassin,Убийца
buffMinerSetBonus,buffs,Buff,,Miner,Шахтер
buffNomadSetBonus,buffs,Buff,,Nomad,Бродяга
buffNerdSetBonus,buffs,Buff,,Nerd,Ботан
buffRaiderSetBonus,buffs,Buff,,Raider,Налетчик

buffSetBonusName,buffs,Buff,,Full Set Bonus,Бонус за полный комплект
buffSemiSetBonusName,buffs,Buff,,Semi Set Bonus,Бонус за полукомплект комплект

buffLightArmorSetBonusName,buffs,buff,,Light Armor bonus,Бонус легкой брони
buffLightArmorSetBonusTooltip,buffs,buff,,Light armor bonus is active,Бонус от легкой брони активен
buffLightArmorSetBonusDesc,buffs,Buff,,Light armor does not restrict movement and weighs almost nothing.\n\nMovement speed increased by 20%,Легкая броня не стесняет при движении и почти ничего не весит.\n\nСкорость пережвижения увеличена на 20%

buffMediumArmorSetBonusName,buffs,buff,,Medium Armor bonus,Бонус средней брони
buffMediumArmorSetBonusTooltip,buffs,buff,,Medium armor bonus is active,Бонус от средней брони активен
buffMediumArmorSetBonusDesc,buffs,Buff,,Medium armor is ideal for actively shooting infected people.\n\nRanged weapon damage increased by 10%,Средняя броня идеально подходит для активного отстрела зараженных.\n\nУрон от оружия дальнего боя увеличен на 10%

buffHeavyArmorSetBonusName,buffs,buff,,Heavy Armor bonus,Бонус тяжелой брони
buffHeavyArmorSetBonusTooltip,buffs,buff,,Heavy armor bonus is active,Бонус от тяжелой брони активен
buffHeavyArmorSetBonusDesc,buffs,Buff,,"Heavy armor makes you much more resistant to damage taken. And in melee combat, you deal enhanced blows.\n\nYou gain 30 health\nMelee weapon damage increased by 10%","Тяжелая броня делает вас намного устойчивее к получаемому урону. А в ближнем бою вы наносите усиленные удары.\n\nВы получает 30 единиц здоровья\nУрон от оружия ближнего боя увеличен 10%"

armorLumberjackHelmetDesc,items,Clothes,,Light Armor\nBirds and wasps are your friends. You can find more honey and eggs by cutting down trees.\n\nFull Set Bonus: Increases wood harvest.,Легкая броня\nПтицы и осы ваши друзья. Вы можете найти больше меда и яйца при рубке деревьев.\n\nБонус комплекта: Увеличивает количество добываемого дерева.
armorLumberjackOutfitDesc,items,Clothes,,Light Armor\nWith a vest full of pockets you'll have room for that. Reduces encumbrance.\n\nFull Set Bonus: Increases wood harvest.,Легкая броня\nС жилетом, полным карманов, у вас будет место для всего что угодно. Уменьшает перегруз персонажа.\n\nБонус комплекта: Увеличивает количество добываемого дерева.
armorLumberjackGlovesDesc,items,Clothes,,Light Armor\nForget about calluses. Strong leather holds the ax handle well. Reduces stamina consumption when using axes.\n\nFull Set Bonus: Increases wood harvest.,Легкая броня\nЗабудьте про мазоли. Крепкая кожа хорошо фиксирует рукоять топора. Уменьшает расход выносливости при использовании топоров.\n\nБонус комплекта: Увеличивает количество добываемого дерева.
armorLumberjackBootsDesc,items,Clothes,,"Light Armor\nComfortable shoes for maintaining balance when swinging with axes. Increases damage with axes against blocks.\n\nFull Set Bonus: Increases wood harvest.","Легкая броня\nУдобная обувь для сохранения равновесия при размашистых ударах топорами. Увеличивает урон топорами по блокам.\n\nБонус комплекта: Увеличивает количество добываемого дерева."
buffLumberjackSetBonusTooltip,buffs,Buff,,Lumberjack Full Set Bonus Active,Бонус за полный комплект дровосека активен
buffLumberjackSemiSetBonusTooltip,buffs,Buff,,Lumberjack Semi Set Bonus Active,Бонус за полукомплект дровосека активен
buffLumberjackSetBonusDesc,buffs,Buff,,Professional lumberjack equipment allows you to harvest timber more efficiently.\n\nWood production increased by {cvar(.armorLumberjackFSBDisplay:0)}%,Профессиональная экипировка лесоруба позволяет более эффективно заготавливать древесину.\n\nДобыча дерева увеличена на {cvar(.armorLumberjackFSBDisplay:0)}%
